3828;1;NSZ 0TONE
12621;1;DSW 0P84R
19700;1;TSK CBN12
4016;2;PRA A3NMW
7166;2;DW AE20N
12480;2;TLW 93BF7
18530;2;NSZ WAPG0
4464;3;TKN 6N4NR
8024;3;PLE 47JG7
18339;3;NOE C538O
18769;3;PGO SE52N
21261;3;DZA CRW27
24450;3;DWR J55DL
25930;3;PKO A6IUS
5745;4;POS MM163
11744;4;DJE 6IJ1S
14936;4;NLI EIC37
21344;4;NEL C4EJG
25302;4;DKL 2LPFR
26523;4;PCT 26MO4
10486;5;PL 05FJ9
15548;5;NOS 5B9C0
17111;5;DGR KTFSP
24609;6;PPL C76M4
28759;6;NOS 5MRT8
21412;7;NOE D7CME
29343;7;POS 9OOE0
12999;8;TKA 4T994
27721;8;TOS U4RKK
6280;9;DL 966JT
9642;9;NOE NBPJR
13483;9;PSZ PHUB3
3814;10;NBR JRGS3
16285;10;POZ 6P7B1
28761;10;DLU EOUI0
5142;11;PKN RK953
6306;12;PGN T6JPB
6710;12;DZL 5I7EW
21434;12;NDZ RBNAL
25601;12;NBA H09KH
27041;12;DDZ KW6LK
3149;13;DZG 3AG94
7923;13;NBA G7G6T
26169;13;DOL W9MNJ
2657;14;DPL RBAJ0
19221;14;TST I8U4D
19944;14;NKE TB6O8
9969;15;NOE LW94G
12218;15;DSW GM3B9
14359;15;NLI NG2SO
26015;15;TKN I1KEA
3078;16;DBL H7AIM
6251;16;TOP 94P04
9898;16;PCT JNG4N
12245;16;DZA OOUTC
13033;16;TPI 8OP1J
1698;17;PLE F3K3S
14794;17;DJA KBGJJ
26728;17;DZG C8M32
1788;18;POS 3GLOO
2486;19;PP GE24D
12820;19;NBR I37TI
13969;19;PSR SFSHG
22843;19;DLW 9L062
27000;20;PRA AA1L9
24005;21;DLE 40A8U
12816;22;PNT 48DA9
19800;22;DWL L7F02
18225;23;NEL UDMMB
22377;23;DBL 6BIKW
164;24;NNI NR784
8664;24;NNI JGR0P
9349;24;DDZ 4NFH9
9841;24;NOL HGBH6
28713;24;TSZ MDFJB
1138;25;PSL 52H00
2407;25;PNT CN4ID
22464;25;NNI KKRUO
29476;25;DL CJT7D
14951;26;TKA COUOS
16126;26;DPL 6D080
22622;26;NDZ T3357
6126;27;PKN E4M4L
10106;27;NO UWR4L
11996;27;DZA JP968
20587;27;PCT 020NN
7036;28;NMR 1T8AS
12070;28;POT 1775D
17203;28;DLW UG1KS
23237;28;DLE U1HKG
4571;29;TJE D7GHO
14042;29;NBA M4MTB
14555;29;PCT B22K2
17329;29;PRA 5GI7M
18364;29;PKE 28PAN
1721;30;NNM P68F9
4495;30;DKL KCAMT
10660;30;DBL PHO2W
18740;30;DL A9EBL
22013;30;DTR USJDS
23571;30;NGI LCP5I
8813;31;PKO FISST
16658;31;POZ HW3WC
4800;32;PSZ WE9LH
15429;32;DLU SUR55
20528;32;NMR 5PCAE
3144;33;PMI HUG5B
11785;33;NOE 36LCH
22391;33;NKE UFD78
3140;34;DSR K3BK8
11940;34;DJA 3NPSJ
26617;34;PNT 1HF1D
4646;35;TPI RRDW3
7310;35;NMR I4OF2
11032;36;DLU 2BWUA
19608;37;PKR TKUMT
14988;38;TSA 90I5D
25164;38;DSW A6O15
17703;39;PKN FK6DM
23247;39;PSL GMP51
25896;39;DDZ OPRMP
6449;40;PSE 52OGK
9249;40;PPL 8G5LL
22088;40;NOS 4BE6L
7640;41;DWL KBJ65
10415;41;NOE NSU4O
13622;41;PKN 7EOPU
19126;41;DGR 57WA1
22457;41;POZ RGLHU
3541;42;PKO G6HU8
22347;42;POT RC9R9
24253;42;NBA TJBDS
18149;43;PKN A45US
6944;44;PLE R3I14
14483;44;PKN L5KBT
28412;44;NOS CE4PO
1973;45;DBA 2F135
22302;45;TJE NC1TA
2271;46;PL F161E
13358;46;POS UOG34
23616;46;NOE NJNS5
26801;46;DGL UJWFA
4648;47;NSZ AMRI0
12946;47;PGS 1A500
13424;48;DLW 1WON5
1104;49;NBA T6SC5
2053;50;NGI 29EC9
12010;50;DB GNGD2
22791;50;PKE H8RND
116;51;NOL 7TTU3
2698;51;TOP SJLSM
4628;51;DW 6DAAJ
8181;51;NOL EC8GO
6011;52;POZ 21CLH
8405;52;NO ESP1U
12422;52;NMR HU842
23696;52;POB CKCGD
14474;53;DLW 5NUCK
21474;53;NPI P7S7E
1253;54;NEL 69NID
4550;54;DMI HIUKC
8130;54;NGO 0P2U1
12461;54;DSW E7WMD
1349;56;PKA W8JR7
3275;56;DST 2CINR
6683;56;DB GMH62
14722;56;PL H0ADU
14992;56;NKE H9AWP
18123;56;PKE TT7A2
29401;56;PKE OHRDU
21055;57;DSW FCM7H
29469;59;NEB 46HW8
1824;60;DWR DL5G2
20769;60;NDZ N2034
12675;61;NEB 077JS
14572;61;DKL A28U7
15285;61;NOL JIAOK
28362;61;PKN 57KGT
29312;61;DJE N9S29
15371;62;PGS SRDPT
20967;62;TKI G4P2M
28145;62;DL 79IFT
25491;63;DGR 5FO13
28545;63;NLI 6JKTF
29097;63;TLW 0CSL5
16031;64;NWE 9RMKM
16205;64;DWR 70TN6
23112;64;DLW URW92
2387;65;NLI CT4M5
17225;65;PKR SSN86
20373;65;TKN SPT8W
7179;66;POS G77WB
20778;66;NNI UAT43
1050;67;DPL PAM78
4821;67;NBA UONJ8
6445;67;PL ASN0J
28555;67;DOA HK0NC
26878;68;NBA ROSFD
1052;69;PGO RJ9J1
7184;69;DBA 44G0I
7244;69;TJE O1EIL
7434;69;TKA N7SOU
10193;69;DLB PL9W3
14805;69;DGR 8833C
15206;70;NKE LRF6E
22358;70;DST 9SDLE
25018;70;PKO 8SHSN
25519;70;DMI S6BNS
5257;71;PSL OS4MF
19682;71;PGO PHW62
20828;71;TOS 01ULT
27541;71;PKE 654J3
27659;71;DKA 5OU78
29807;71;TBU MD867
17787;72;PKE BM5JS
22022;72;PKR IH3GF
