1;alfa_romeo;laguna;2825;45;2002;benzyna
2;audi;lancer;1600;45;2010;benzyna
3;bmw;legacy;1854;45;2001;benzyna
4;chrysler;leon;2206;48;2007;benzyna
5;dacia;lodgy;1261;50;2003;benzyna
6;fiat;m_klasse;2411;50;2012;diesel
7;ford;m_reihe;2534;50;2009;benzyna
8;hyundai;megane;1444;50;2001;benzyna
9;jaguar;meriva;1078;50;2000;benzyna
10;jeep;mii;1126;50;2007;benzyna
11;kia;mondeo;2867;50;2016;benzyna
12;land_rover;mustang;1740;50;2004;benzyna
13;mazda;mx_reihe;1664;50;2010;benzyna
14;mercedes_benz;navara;1402;50;2008;hybryda
15;mini;octavia;2929;50;2003;hybryda
16;mitsubishi;omega;2960;50;2016;hybryda
17;nissan;one;2149;50;2014;hybryda
18;opel;outlander;1330;52;2002;hybryda
19;renault;pajero;1895;54;2015;hybryda
20;rover;passat;2578;54;2006;hybryda
21;seat;phaeton;2261;54;2013;hybryda
22;skoda;polo;1936;54;2011;hybryda
23;toyota;ptcruiser;2606;54;2009;hybryda
24;volkswagen;punto;1804;54;1999;hybryda
25;volvo;q4;1079;54;2016;hybryda
26;alfa_romeo;q6;1375;54;2010;hybryda
27;audi;q8;2996;54;2014;hybryda
28;bmw;qashqai;1453;54;2013;hybryda
29;chrysler;range_rover;2416;54;2009;hybryda
30;dacia;range_rover_evoque;1323;54;2014;hybryda
31;fiat;range_rover_sport;2450;54;2006;hybryda
32;ford;rangerover;2241;54;2012;hybryda
33;hyundai;rav;1924;54;2007;hybryda
34;jaguar;rio;1303;54;2009;hybryda
35;jeep;roadster;1447;54;2003;hybryda
36;kia;rx_reihe;2185;54;2012;hybryda
37;land_rover;s_classe;2715;54;2005;hybryda
38;mazda;s_max;2982;54;2013;hybryda
39;mercedes_benz;s_type;2629;54;2014;hybryda
40;mini;s61;2794;54;2006;hybryda
41;mitsubishi;santa;1108;54;2004;hybryda
42;nissan;scenic;2495;54;2013;hybryda
43;opel;scirocco;1533;54;2011;hybryda
44;renault;serie_3;1772;54;2015;hybryda
45;rover;serie_4;2898;54;2005;hybryda
46;seat;sharan;1461;54;2015;hybryda
47;skoda;sl;1732;54;2015;hybryda
48;toyota;slk;2047;54;2002;hybryda
49;volkswagen;sorento;1791;54;2000;hybryda
50;volvo;spider;2627;54;2013;hybryda
51;alfa_romeo;sportage;1625;54;2010;hybryda
52;audi;sprinter;1052;54;2015;hybryda
53;bmw;superb;1563;54;2008;hybryda
54;chrysler;swift;1230;54;2002;hybryda
55;dacia;tiguan;1856;54;2016;hybryda
56;fiat;touareg;1642;54;2008;hybryda
57;ford;touran;1606;54;2014;hybryda
58;hyundai;transit;1851;54;2013;hybryda
59;jaguar;transporter;2096;55;2005;hybryda
60;jeep;tt;1022;55;2006;hybryda
61;kia;tucson;2175;55;2010;hybryda
62;land_rover;up;1545;58;2012;hybryda
63;mazda;v_klasse;2263;58;2002;hybryda
64;mercedes_benz;v41;1098;58;2000;hybryda
65;mini;v51;1849;58;2005;hybryda
66;mitsubishi;v61;2711;58;2006;hybryda
67;nissan;v71;2284;58;2013;hybryda
68;opel;vectra;1564;58;2011;hybryda
69;renault;verso;2693;58;2003;hybryda
70;rover;viano;1912;58;2010;hybryda
71;seat;vito;1357;58;2000;hybryda
